,OBS_ID,BLOCK,START_DATE,START_TIME,END_DATE,END_TIME,XCEN,YCEN,OBS_MODES,ROI,COMMENT
0,OB_09052022_100000,CALIB_0,09/05/2022,10:00:00,09/05/2022,16:00:00,,,CAL0,Comissioning,
1,OB_09052022_160500,QSDC_1,09/05/2022,16:05:00,09/05/2022,22:09:00,322.0,220.0,"QS1, QS2, QS4a, QS4b, QS8",Quiet Sun,
2,OB_09052022_221400,CALIB_1,09/05/2022,22:14:00,09/05/2022,22:44:00,,,CAL1,Calibration,
3,OB_09052022_224900,QSDC_2,09/05/2022,22:49:00,10/05/2022,03:36:00,466.0,-478.0,"QS6, QS3, QS5a",Quiet Sun,
4,OB_10052022_034100,CALIB_1,10/05/2022,03:41:00,10/05/2022,04:11:00,,,CAL1,Calibration,
5,OB_10052022_041600,QSDC_3,10/05/2022,04:16:00,10/05/2022,08:39:00,-546.0,-34.0,"QS5b, QS7c",Quiet Sun,
6,OB_10052022_084400,CALIB_1,10/05/2022,08:44:00,10/05/2022,09:14:00,,,CAL1,Calibration,
7,OB_10052022_091900,FS_1,10/05/2022,09:19:00,10/05/2022,14:55:00,-110.0,-517.0,FS1,Quiet Sun,
8,OB_10052022_150000,CALIB_1,10/05/2022,15:00:00,10/05/2022,15:30:00,,,CAL1,Calibration,
9,OB_10052022_153500,FS_2,10/05/2022,15:35:00,10/05/2022,21:11:00,88.0,435.0,FS2,Plage,
10,OB_10052022_211600,CALIB_0,10/05/2022,21:16:00,11/05/2022,03:16:00,,,CAL0,Comissioning,
11,OB_11052022_032100,AR_1,11/05/2022,03:21:00,11/05/2022,07:12:00,361.0,-106.0,"AR1, AR2",EB Moat MMF,
12,OB_11052022_071700,CALIB_1,11/05/2022,07:17:00,11/05/2022,07:47:00,,,CAL1,Calibration,
13,OB_11052022_075200,AR_2,11/05/2022,07:52:00,11/05/2022,10:29:00,-62.0,-599.0,"AR5a, AR5b, AR3",Plage,
14,OB_11052022_103400,CALIB_1,11/05/2022,10:34:00,11/05/2022,11:04:00,,,CAL1,Calibration,
15,OB_11052022_110900,AR_3,11/05/2022,11:09:00,11/05/2022,12:59:00,-134.0,227.0,"AR4c, AR4b, AR4a",Plage,
16,OB_11052022_130400,CALIB_1,11/05/2022,13:04:00,11/05/2022,13:34:00,,,CAL1,Calibration,
17,OB_11052022_133900,SUNPOT_1,11/05/2022,13:39:00,11/05/2022,17:49:00,455.0,-437.0,"SP1, SP2, SP4a, SP4b",Sunspot,AR13010
18,OB_11052022_175400,CALIB_1,11/05/2022,17:54:00,11/05/2022,18:24:00,,,CAL1,Calibration,
19,OB_11052022_182900,SUNPOT_2,11/05/2022,18:29:00,11/05/2022,21:41:00,-228.0,257.0,"SP3, SP8",Sunspot penumbra,
20,OB_11052022_214600,CALIB_1,11/05/2022,21:46:00,11/05/2022,22:16:00,,,CAL1,Calibration,
21,OB_11052022_222100,SUNPOT_2,11/05/2022,22:21:00,12/05/2022,01:33:00,-29.0,173.0,"SP3, SP8",Sunspot penumbra,
22,OB_12052022_013800,CALIB_1,12/05/2022,01:38:00,12/05/2022,02:08:00,,,CAL1,Calibration,
23,OB_12052022_021300,SUNPOT_2,12/05/2022,02:13:00,12/05/2022,05:25:00,52.0,165.0,"SP3, SP8",Sunspot penumbra,
24,OB_12052022_053000,CALIB_1,12/05/2022,05:30:00,12/05/2022,06:00:00,,,CAL1,Calibration,
25,OB_12052022_060500,SUNPOT_3,12/05/2022,06:05:00,12/05/2022,08:52:00,232.0,343.0,"SP7a, SP7b",Sunspot,
26,OB_12052022_085700,CALIB_1,12/05/2022,08:57:00,12/05/2022,09:27:00,,,CAL1,Calibration,
27,OB_12052022_093200,SUNPOT_4,12/05/2022,09:32:00,12/05/2022,09:43:00,-26.0,-282.0,SP6,Sunspot,
28,OB_12052022_094800,CALIB_0,12/05/2022,09:48:00,12/05/2022,15:48:00,,,CAL0,Comissioning,
29,OB_12052022_155300,AR_4,12/05/2022,15:53:00,12/05/2022,17:17:00,-234.0,297.0,"AR6a, AR6b, AR6c",plage,
30,OB_12052022_172200,CALIB_1,12/05/2022,17:22:00,12/05/2022,17:52:00,,,CAL1,Calibration,
31,OB_12052022_175700,AR_5,12/05/2022,17:57:00,12/05/2022,18:34:00,-485.0,-264.0,AR7,QS AR Filament,
32,OB_12052022_183900,CALIB_1,12/05/2022,18:39:00,12/05/2022,19:09:00,,,CAL1,Calibration,
33,OB_12052022_191400,POLE_1,12/05/2022,19:14:00,12/05/2022,22:09:00,-481.0,352.0,"PL1, PL4, PL5",Poles,
34,OB_12052022_221400,CALIB_1,12/05/2022,22:14:00,12/05/2022,22:44:00,,,CAL1,Calibration,
35,OB_12052022_224900,POLE_2,12/05/2022,22:49:00,13/05/2022,00:01:00,-567.0,-199.0,"PL2, PL3",Poles,
36,OB_13052022_000600,CALIB_1,13/05/2022,00:06:00,13/05/2022,00:36:00,,,CAL1,Calibration,
37,OB_13052022_004100,EWL_1,13/05/2022,00:41:00,13/05/2022,02:41:00,-374.0,98.0,"EW1, EW2, EW3",East-West limbs,
38,OB_13052022_024600,CALIB_1,13/05/2022,02:46:00,13/05/2022,03:16:00,,,CAL1,Calibration,
39,OB_13052022_032100,CH_1,13/05/2022,03:21:00,13/05/2022,05:41:00,-562.0,-384.0,"CH1, CH2, CH3",Coronal hole,
40,OB_13052022_054600,CALIB_0,13/05/2022,05:46:00,13/05/2022,11:46:00,,,CAL0,Comissioning,
41,OB_13052022_115100,FLARE_1,13/05/2022,11:51:00,13/05/2022,23:51:00,121.0,577.0,Flare1,Flare,
42,OB_13052022_235600,CALIB_1,13/05/2022,23:56:00,14/05/2022,00:26:00,,,CAL1,Calibration,
43,OB_14052022_003100,QSDC_1,14/05/2022,00:31:00,14/05/2022,06:35:00,212.0,-239.0,"QS1, QS2, QS4a, QS4b, QS8",Quiet Sun,
44,OB_14052022_064000,CALIB_1,14/05/2022,06:40:00,14/05/2022,07:10:00,,,CAL1,Calibration,
45,OB_14052022_071500,QSDC_2,14/05/2022,07:15:00,14/05/2022,12:02:00,-532.0,519.0,"QS6, QS3, QS5a",Quiet Sun,
46,OB_14052022_120700,CALIB_1,14/05/2022,12:07:00,14/05/2022,12:37:00,,,CAL1,Calibration,
47,OB_14052022_124200,QSDC_3,14/05/2022,12:42:00,14/05/2022,17:05:00,-296.0,261.0,"QS5b, QS7c",Quiet Sun,
