,OBS_ID,BLOCK,Instrument,START_DATE,START_TIME,END_DATE,END_TIME,XCEN,YCEN,FOV,OBS_MODES,INTRUMENT_MODE,ROI,COMMENT
0,OB_09052022_100000,CALIB_0,SCIP,09/05/2022,16:00:00,09/05/2022,22:00:00,,,-,CAL0,,Comissioning,
1,OB_09052022_160500,QSDC_1,SCIP,09/05/2022,16:35:00,09/05/2022,17:05:00,323.0,220.0,0.09,QS1,N6,Quiet Sun,
2,OB_09052022_160500,QSDC_1,SCIP,09/05/2022,18:22:00,09/05/2022,20:09:00,323.0,220.0,58.0,QS2,N1D,Quiet Sun,
3,OB_09052022_160500,QSDC_1,SCIP,09/05/2022,19:22:00,09/05/2022,21:22:00,323.0,220.0,1.0,QS4a,N4F,Quiet Sun,
4,OB_09052022_160500,QSDC_1,SCIP,09/05/2022,20:22:00,09/05/2022,22:22:00,323.0,220.0,1.0,QS4b,N4F,Quiet Sun,
5,OB_09052022_160500,QSDC_1,SCIP,09/05/2022,22:09:00,09/05/2022,23:56:00,323.0,220.0,58.0,QS8,N1D,Quiet Sun,
6,OB_09052022_221400,CALIB_1,SCIP,09/05/2022,22:44:00,09/05/2022,23:14:00,,,-,CAL1,,Calibration,
7,OB_09052022_224900,QSDC_2,SCIP,09/05/2022,23:49:00,10/05/2022,00:49:00,471.0,-478.0,58.0,QS6,R1,Quiet Sun,
8,OB_09052022_224900,QSDC_2,SCIP,10/05/2022,01:36:00,10/05/2022,03:23:00,471.0,-478.0,58.0,QS3,N1D,Quiet Sun,
9,OB_09052022_224900,QSDC_2,SCIP,10/05/2022,03:36:00,10/05/2022,05:36:00,471.0,-478.0,5.0,QS5a,N3F,Quiet Sun,
10,OB_10052022_034100,CALIB_1,SCIP,10/05/2022,04:11:00,10/05/2022,04:41:00,,,-,CAL1,,Calibration,
11,OB_10052022_041600,QSDC_3,SCIP,10/05/2022,04:16:00,10/05/2022,05:16:00,-549.0,-34.0,0.09,QS5b,N6,Quiet Sun,
12,OB_10052022_041600,QSDC_3,SCIP,10/05/2022,05:16:00,10/05/2022,05:27:54,-549.0,-34.0,58.0,QS7c,N1F,Quiet Sun,
13,OB_10052022_084400,CALIB_1,SCIP,10/05/2022,09:14:00,10/05/2022,09:44:00,,,-,CAL1,,Calibration,
14,OB_10052022_091900,FS_1,SCIP,10/05/2022,14:55:00,10/05/2022,20:31:00,-109.0,-517.0,15.0,FS1,FS,Quiet Sun,
15,OB_10052022_150000,CALIB_1,SCIP,10/05/2022,15:30:00,10/05/2022,16:00:00,,,-,CAL1,,Calibration,
16,OB_10052022_153500,FS_2,SCIP,10/05/2022,21:11:00,11/05/2022,02:47:00,78.0,435.0,15.0,FS2,FS,Plage,
17,OB_10052022_211600,CALIB_0,SCIP,11/05/2022,03:16:00,11/05/2022,09:16:00,,,-,CAL0,,Comissioning,
18,OB_11052022_032100,AR_1,SCIP,11/05/2022,05:11:54,11/05/2022,07:02:48,360.0,-106.0,20.0,AR1,N2D,EB Moat MMF,
19,OB_11052022_032100,AR_1,SCIP,11/05/2022,06:53:54,11/05/2022,08:53:54,360.0,-106.0,20.0,AR2,N2F,EB Moat MMF,
20,OB_11052022_071700,CALIB_1,SCIP,11/05/2022,07:47:00,11/05/2022,08:17:00,,,-,CAL1,,Calibration,
21,OB_11052022_075200,AR_2,SCIP,11/05/2022,08:52:00,11/05/2022,09:52:00,-53.0,-599.0,1.0,AR5a,N4F,plage,
22,OB_11052022_075200,AR_2,SCIP,11/05/2022,09:52:00,11/05/2022,10:52:00,-53.0,-599.0,1.0,AR5b,N4F,plage,
23,OB_11052022_075200,AR_2,SCIP,11/05/2022,09:52:00,11/05/2022,10:29:00,-53.0,-599.0,20.0,AR3,N2D,Plage,
24,OB_11052022_103400,CALIB_1,SCIP,11/05/2022,11:04:00,11/05/2022,11:34:00,,,-,CAL1,,Calibration,
25,OB_11052022_110900,AR_3,SCIP,11/05/2022,12:04:00,11/05/2022,12:15:54,-136.0,227.0,58.0,AR4c,N1F,Plage,
26,OB_11052022_110900,AR_3,SCIP,11/05/2022,12:59:00,11/05/2022,14:25:00,-136.0,227.0,58.0,AR4b,R1,Plage,
27,OB_11052022_110900,AR_3,SCIP,11/05/2022,12:59:00,11/05/2022,13:10:54,-136.0,227.0,58.0,AR4a,N1F,Plage,
28,OB_11052022_130400,CALIB_1,SCIP,11/05/2022,13:34:00,11/05/2022,14:04:00,,,-,CAL1,,Calibration,
