,OBS_ID,BLOCK,Instrument,START_DATE,START_TIME,END_DATE,END_TIME,XCEN,YCEN,FOV,OBS_MODES,INTRUMENT_MODE,ROI,COMMENT
0,OB_09052022_100000,CALIB_0,SUSI,09/05/2022,10:00:00,09/05/2022,16:00:00,,,-,CAL0,,Comissioning,
1,OB_09052022_160500,QSDC_1,SUSI,09/05/2022,16:05:00,09/05/2022,16:35:00,322.0,220.0,0.15,QS1,Ca II K,Quiet Sun,
2,OB_09052022_160500,QSDC_1,SUSI,09/05/2022,16:35:00,09/05/2022,18:22:00,322.0,220.0,58.0,QS2,Ca II K,Quiet Sun,
3,OB_09052022_160500,QSDC_1,SUSI,09/05/2022,18:22:00,09/05/2022,19:22:00,322.0,220.0,1.0,QS4a,Ca II K+ 407,Quiet Sun,
4,OB_09052022_160500,QSDC_1,SUSI,09/05/2022,19:22:00,09/05/2022,20:22:00,322.0,220.0,1.0,QS4b,410.5 - 407.5 ,Quiet Sun,
5,OB_09052022_160500,QSDC_1,SUSI,09/05/2022,20:22:00,09/05/2022,22:09:00,322.0,220.0,58.0,QS8,359.8 - 357.8,Quiet Sun,
6,OB_09052022_221400,CALIB_1,SUSI,09/05/2022,22:14:00,09/05/2022,22:44:00,,,-,CAL1,,Calibration,
7,OB_09052022_224900,QSDC_2,SUSI,09/05/2022,22:49:00,09/05/2022,23:49:00,456.0,-478.0,3.0,QS6,410.5 - 407.5,Quiet Sun,
8,OB_09052022_224900,QSDC_2,SUSI,09/05/2022,23:49:00,10/05/2022,01:36:00,456.0,-478.0,58.0,QS3,410.5 - 407.5,Quiet Sun,
9,OB_09052022_224900,QSDC_2,SUSI,10/05/2022,01:36:00,10/05/2022,03:36:00,456.0,-478.0,5.0,QS5a,327 - 329,Quiet Sun,
10,OB_10052022_034100,CALIB_1,SUSI,10/05/2022,03:41:00,10/05/2022,04:11:00,,,-,CAL1,,Calibration,
11,OB_10052022_041600,QSDC_3,SUSI,10/05/2022,04:16:00,10/05/2022,04:16:00,-537.0,-34.0,-,QS5b,,Quiet Sun,
12,OB_10052022_041600,QSDC_3,SUSI,10/05/2022,04:16:00,10/05/2022,05:16:00,-537.0,-34.0,1.0,QS7c,Ca II K,Quiet Sun,
13,OB_10052022_084400,CALIB_1,SUSI,10/05/2022,08:44:00,10/05/2022,09:14:00,,,-,CAL1,,Calibration,
14,OB_10052022_091900,FS_1,SUSI,10/05/2022,09:19:00,10/05/2022,14:55:00,-100.0,-517.0,10.0,FS1,Entire range,Quiet Sun,
15,OB_10052022_150000,CALIB_1,SUSI,10/05/2022,15:00:00,10/05/2022,15:30:00,,,-,CAL1,,Calibration,
16,OB_10052022_153500,FS_2,SUSI,10/05/2022,15:35:00,10/05/2022,21:11:00,82.0,435.0,10.0,FS2,Entire range,Plage,
17,OB_10052022_211600,CALIB_0,SUSI,10/05/2022,21:16:00,11/05/2022,03:16:00,,,-,CAL0,,Comissioning,
18,OB_11052022_032100,AR_1,SUSI,11/05/2022,03:21:00,11/05/2022,05:11:54,359.0,-106.0,20.0,AR1,Ca II K,EB Moat MMF,
19,OB_11052022_032100,AR_1,SUSI,11/05/2022,05:11:54,11/05/2022,06:53:54,359.0,-106.0,30.0,AR2,410.5 - 407.5,EB Moat MMF,
20,OB_11052022_071700,CALIB_1,SUSI,11/05/2022,07:17:00,11/05/2022,07:47:00,,,-,CAL1,,Calibration,
21,OB_11052022_075200,AR_2,SUSI,11/05/2022,07:52:00,11/05/2022,08:52:00,-61.0,-599.0,1.0,AR5a,Ca II K,plage,
22,OB_11052022_075200,AR_2,SUSI,11/05/2022,08:52:00,11/05/2022,09:52:00,-61.0,-599.0,1.0,AR5b,410.5 - 407.5,plage,
23,OB_11052022_075200,AR_2,SUSI,11/05/2022,09:52:00,11/05/2022,09:52:00,-61.0,-599.0,-,AR3,,Plage,
24,OB_11052022_103400,CALIB_1,SUSI,11/05/2022,10:34:00,11/05/2022,11:04:00,,,-,CAL1,,Calibration,
25,OB_11052022_110900,AR_3,SUSI,11/05/2022,11:09:00,11/05/2022,12:04:00,-132.0,227.0,30.0,AR4c,410,Plage,
26,OB_11052022_110900,AR_3,SUSI,11/05/2022,12:04:00,11/05/2022,12:59:00,-132.0,227.0,30.0,AR4b,Ca II K,Plage,
27,OB_11052022_110900,AR_3,SUSI,11/05/2022,12:59:00,11/05/2022,12:59:00,-132.0,227.0,-,AR4a,,Plage,
28,OB_11052022_130400,CALIB_1,SUSI,11/05/2022,13:04:00,11/05/2022,13:34:00,,,-,CAL1,,Calibration,
29,OB_11052022_133900,SUNPOT_1,SUSI,11/05/2022,13:39:00,11/05/2022,14:01:30,462.0,-437.0,58.0,SP1,Ca II K,Sunspot,AR13010
30,OB_11052022_133900,SUNPOT_1,SUSI,11/05/2022,14:01:30,11/05/2022,15:48:30,462.0,-437.0,58.0,SP2,Ca II K,Sunspot,AR13010
31,OB_11052022_133900,SUNPOT_1,SUSI,11/05/2022,15:48:30,11/05/2022,16:48:30,462.0,-437.0,0.15,SP4a,Ca II K,Sunspot,AR13010
32,OB_11052022_133900,SUNPOT_1,SUSI,11/05/2022,16:48:30,11/05/2022,17:48:30,462.0,-437.0,0.15,SP4b,410.5 - 407.5,Sunspot,AR13010
33,OB_11052022_175400,CALIB_1,SUSI,11/05/2022,17:54:00,11/05/2022,18:24:00,,,-,CAL1,,Calibration,
34,OB_11052022_182900,SUNPOT_2,SUSI,11/05/2022,18:29:00,11/05/2022,18:40:54,-230.0,257.0,58.0,SP3,410.5- 407.5,Sunspot,
35,OB_11052022_182900,SUNPOT_2,SUSI,11/05/2022,18:40:54,11/05/2022,19:40:54,-230.0,257.0,3.0,SP8,327-329,Sunspot penumbra,
36,OB_11052022_214600,CALIB_1,SUSI,11/05/2022,21:46:00,11/05/2022,22:16:00,,,-,CAL1,,Calibration,
37,OB_11052022_222100,SUNPOT_2,SUSI,11/05/2022,22:21:00,11/05/2022,22:32:54,-32.0,173.0,58.0,SP3,410.5- 407.5,Sunspot,
38,OB_11052022_222100,SUNPOT_2,SUSI,11/05/2022,22:32:54,11/05/2022,23:32:54,-32.0,173.0,3.0,SP8,327-329,Sunspot penumbra,
39,OB_12052022_013800,CALIB_1,SUSI,12/05/2022,01:38:00,12/05/2022,02:08:00,,,-,CAL1,,Calibration,
40,OB_12052022_021300,SUNPOT_2,SUSI,12/05/2022,02:13:00,12/05/2022,02:24:54,56.0,165.0,58.0,SP3,410.5- 407.5,Sunspot,
41,OB_12052022_021300,SUNPOT_2,SUSI,12/05/2022,02:24:54,12/05/2022,03:24:54,56.0,165.0,3.0,SP8,327-329,Sunspot penumbra,
42,OB_12052022_053000,CALIB_1,SUSI,12/05/2022,05:30:00,12/05/2022,06:00:00,,,-,CAL1,,Calibration,
43,OB_12052022_060500,SUNPOT_3,SUSI,12/05/2022,06:05:00,12/05/2022,06:05:00,242.0,343.0,-,SP7a,,Sunspot,
44,OB_12052022_060500,SUNPOT_3,SUSI,12/05/2022,06:05:00,12/05/2022,06:05:00,242.0,343.0,-,SP7b,,Sunspot,
45,OB_12052022_085700,CALIB_1,SUSI,12/05/2022,08:57:00,12/05/2022,09:27:00,,,-,CAL1,,Calibration,
46,OB_12052022_093200,SUNPOT_4,SUSI,12/05/2022,09:32:00,12/05/2022,09:32:00,-26.0,-282.0,-,SP6,,Sunspot,
47,OB_12052022_094800,CALIB_0,SUSI,12/05/2022,09:48:00,12/05/2022,15:48:00,,,-,CAL0,,Comissioning,
48,OB_12052022_155300,AR_4,SUSI,12/05/2022,15:53:00,12/05/2022,15:53:00,-241.0,297.0,-,AR6a,,plage,
49,OB_12052022_155300,AR_4,SUSI,12/05/2022,15:53:00,12/05/2022,15:53:00,-241.0,297.0,-,AR6b,,plage,
50,OB_12052022_155300,AR_4,SUSI,12/05/2022,15:53:00,12/05/2022,15:53:00,-241.0,297.0,-,AR6c,,plage,
51,OB_12052022_172200,CALIB_1,SUSI,12/05/2022,17:22:00,12/05/2022,17:52:00,,,-,CAL1,,Calibration,
52,OB_12052022_175700,AR_5,SUSI,12/05/2022,17:57:00,12/05/2022,18:34:00,-493.0,-264.0,20.0,AR7,Ca II K,QS AR Filament,
53,OB_12052022_183900,CALIB_1,SUSI,12/05/2022,18:39:00,12/05/2022,19:09:00,,,-,CAL1,,Calibration,
54,OB_12052022_191400,POLE_1,SUSI,12/05/2022,19:14:00,12/05/2022,20:09:00,-481.0,352.0,30.0,PL1,Ca II K,Poles,
55,OB_12052022_191400,POLE_1,SUSI,12/05/2022,20:09:00,12/05/2022,21:09:00,-481.0,352.0,0.15,PL4,Ca II K,Poles,
56,OB_12052022_191400,POLE_1,SUSI,12/05/2022,21:09:00,12/05/2022,22:09:00,-481.0,352.0,1.0,PL5,Ca II H,Poles,
57,OB_12052022_221400,CALIB_1,SUSI,12/05/2022,22:14:00,12/05/2022,22:44:00,,,-,CAL1,,Calibration,
58,OB_12052022_224900,POLE_2,SUSI,12/05/2022,22:49:00,12/05/2022,23:23:00,-574.0,-199.0,20.0,PL2,410.5 - 407.5,Poles,
59,OB_12052022_224900,POLE_2,SUSI,12/05/2022,23:23:00,12/05/2022,23:57:00,-574.0,-199.0,20.0,PL3,359.8 -357.8,Poles,
60,OB_13052022_000600,CALIB_1,SUSI,13/05/2022,00:06:00,13/05/2022,00:36:00,,,-,CAL1,,Calibration,
61,OB_13052022_004100,EWL_1,SUSI,13/05/2022,00:41:00,13/05/2022,01:15:00,-368.0,98.0,20.0,EW1,410.5 - 407.5,East-West limbs,
62,OB_13052022_004100,EWL_1,SUSI,13/05/2022,01:15:00,13/05/2022,01:31:42,-368.0,98.0,10.0,EW2,388.0 - 386.0,East-West limbs,
63,OB_13052022_004100,EWL_1,SUSI,13/05/2022,01:31:42,13/05/2022,02:31:42,-368.0,98.0,0.15,EW3,Ca II K,East-West limbs,
64,OB_13052022_024600,CALIB_1,SUSI,13/05/2022,02:46:00,13/05/2022,03:16:00,,,-,CAL1,,Calibration,
65,OB_13052022_032100,CH_1,SUSI,13/05/2022,03:21:00,13/05/2022,03:51:00,-554.0,-384.0,0.15,CH1,Ca II K,Coronal hole,
66,OB_13052022_032100,CH_1,SUSI,13/05/2022,03:51:00,13/05/2022,04:46:00,-554.0,-384.0,30.0,CH2,Ca II K,Coronal hole,
67,OB_13052022_032100,CH_1,SUSI,13/05/2022,04:46:00,13/05/2022,05:41:00,-554.0,-384.0,30.0,CH3,410.5 - 407.5,Coronal hole,
68,OB_13052022_054600,CALIB_0,SUSI,13/05/2022,05:46:00,13/05/2022,11:46:00,,,-,CAL0,,Comissioning,
69,OB_13052022_115100,FLARE_1,SUSI,13/05/2022,11:51:00,13/05/2022,23:51:00,127.0,577.0,58.0,Flare1,Ca II K or 329,Flare,
70,OB_13052022_235600,CALIB_1,SUSI,13/05/2022,23:56:00,14/05/2022,00:26:00,,,-,CAL1,,Calibration,
71,OB_14052022_003100,QSDC_1,SUSI,14/05/2022,00:31:00,14/05/2022,01:01:00,202.0,-239.0,0.15,QS1,Ca II K,Quiet Sun,
72,OB_14052022_003100,QSDC_1,SUSI,14/05/2022,01:01:00,14/05/2022,02:48:00,202.0,-239.0,58.0,QS2,Ca II K,Quiet Sun,
73,OB_14052022_003100,QSDC_1,SUSI,14/05/2022,02:48:00,14/05/2022,03:48:00,202.0,-239.0,1.0,QS4a,Ca II K+ 407,Quiet Sun,
74,OB_14052022_003100,QSDC_1,SUSI,14/05/2022,03:48:00,14/05/2022,04:48:00,202.0,-239.0,1.0,QS4b,410.5 - 407.5 ,Quiet Sun,
75,OB_14052022_003100,QSDC_1,SUSI,14/05/2022,04:48:00,14/05/2022,06:35:00,202.0,-239.0,58.0,QS8,359.8 - 357.8,Quiet Sun,
