,OBS_ID,BLOCK,Instrument,START_DATE,START_TIME,END_DATE,END_TIME,XCEN,YCEN,OBS_MODES,INTRUMENT_MODE,ROI,COMMENT
0,OB_09052022_100000,CALIB_0,TUMAG,09/05/2022,16:00:00,09/05/2022,22:00:00,,,CAL0,,Comissioning,
1,OB_09052022_160500,QSDC_1,TUMAG,09/05/2022,16:35:00,09/05/2022,17:05:00,322.0,220.0,QS1,Obs 1 + Obs 2,Quiet Sun,
2,OB_09052022_160500,QSDC_1,TUMAG,09/05/2022,18:22:00,09/05/2022,20:09:00,322.0,220.0,QS2,Obs 1 + Obs 2,Quiet Sun,
3,OB_09052022_160500,QSDC_1,TUMAG,09/05/2022,19:22:00,09/05/2022,21:22:00,322.0,220.0,QS4a,Obs 1 + Obs 2,Quiet Sun,
4,OB_09052022_160500,QSDC_1,TUMAG,09/05/2022,20:22:00,09/05/2022,22:22:00,322.0,220.0,QS4b,Obs 1 + Obs 2,Quiet Sun,
5,OB_09052022_160500,QSDC_1,TUMAG,09/05/2022,22:09:00,09/05/2022,23:56:00,322.0,220.0,QS8,Obs 1 + Obs 2,Quiet Sun,
6,OB_09052022_221400,CALIB_1,TUMAG,09/05/2022,22:44:00,09/05/2022,23:14:00,,,CAL1,,Calibration,
7,OB_09052022_224900,QSDC_2,TUMAG,09/05/2022,23:49:00,10/05/2022,00:49:00,466.0,-478.0,QS6,Obs 0-s + Obs 2,Quiet Sun,
8,OB_09052022_224900,QSDC_2,TUMAG,10/05/2022,01:36:00,10/05/2022,03:23:00,466.0,-478.0,QS3,Obs 4 + Obs 5,Quiet Sun,
9,OB_09052022_224900,QSDC_2,TUMAG,10/05/2022,03:36:00,10/05/2022,05:36:00,466.0,-478.0,QS5a,Obs 1 + Obs 2,Quiet Sun,
10,OB_10052022_034100,CALIB_1,TUMAG,10/05/2022,04:11:00,10/05/2022,04:41:00,,,CAL1,,Calibration,
11,OB_10052022_041600,QSDC_3,TUMAG,10/05/2022,04:16:00,10/05/2022,04:16:00,-546.0,-34.0,QS5b,,Quiet Sun,
